s,t,o,h,l,c,v
ok,2024-03-12 06:30:00,2.75,2.75,2.75,2.75,340
ok,2024-03-12 07:00:00,2.8,2.99,2.79,2.97,1232
ok,2024-03-12 07:30:00,2.8,2.8,2.79,2.79,1135
ok,2024-03-12 08:00:00,2.75,2.75,2.74,2.74,518
ok,2024-03-12 08:30:00,2.74,3.0,2.61,2.78,20566
ok,2024-03-12 09:00:00,2.55,2.77,2.55,2.58,3204
ok,2024-03-12 09:30:00,2.58,2.78,2.58,2.59,1188
ok,2024-03-12 10:00:00,2.59,2.59,2.08,2.22,21751
ok,2024-03-12 10:30:00,2.29,2.29,2.01,2.13,5385
ok,2024-03-12 12:00:00,2.24,2.61,2.03,2.6,16532
ok,2024-03-12 12:30:00,2.62,2.94,2.61,2.92,3262
ok,2024-03-12 13:00:00,2.7,2.7,2.65,2.65,332
ok,2024-03-12 13:30:00,2.71,2.8,2.71,2.8,4600
ok,2024-03-12 14:00:00,2.92,2.94,2.79,2.79,1452
ok,2024-03-12 14:30:00,2.83,3.04,2.83,3.03,2699
ok,2024-03-12 15:00:00,3.01,3.21,3.01,3.14,2599
ok,2024-03-12 16:30:00,2.91,2.91,2.79,2.79,1901
ok,2024-03-13 03:00:00,3.0,3.0,3.0,3.0,300
ok,2024-03-13 06:00:00,2.8,2.8,2.8,2.8,1496
ok,2024-03-13 06:30:00,2.7,2.8,2.69,2.76,1240
ok,2024-03-13 07:00:00,2.7,2.7,2.66,2.66,1127
ok,2024-03-13 07:30:00,2.82,2.82,2.82,2.82,100
ok,2024-03-13 08:00:00,2.7,2.75,2.7,2.75,325
ok,2024-03-13 08:30:00,2.55,2.75,2.51,2.61,4916
ok,2024-03-13 09:00:00,2.61,2.61,2.44,2.53,2440
ok,2024-03-13 09:30:00,2.4,2.51,2.4,2.4,1448
ok,2024-03-13 10:00:00,2.41,2.63,2.33,2.58,6906
ok,2024-03-13 10:30:00,2.54,2.55,2.35,2.35,4126
ok,2024-03-13 11:00:00,2.44,2.55,2.44,2.5,1007
ok,2024-03-13 11:30:00,2.49,2.58,2.45,2.56,9959
ok,2024-03-13 12:00:00,2.56,2.57,2.56,2.57,10339
ok,2024-03-13 12:30:00,2.56,2.65,2.56,2.57,6400
ok,2024-03-13 13:00:00,2.6,2.6,2.56,2.57,9590
ok,2024-03-13 13:30:00,2.57,2.57,2.41,2.54,9040
ok,2024-03-13 14:00:00,2.48,2.48,2.39,2.39,2505
ok,2024-03-13 14:30:00,2.41,2.41,2.32,2.34,2996
ok,2024-03-13 15:00:00,2.41,2.41,2.41,2.41,160
ok,2024-03-13 15:30:00,2.24,2.24,2.24,2.24,255
ok,2024-03-13 16:00:00,2.45,2.45,2.45,2.45,5400
ok,2024-03-13 16:30:00,2.54,2.54,2.54,2.54,160
ok,2024-03-13 17:00:00,2.45,2.58,2.45,2.58,3082
ok,2024-03-13 17:30:00,2.58,2.64,2.58,2.6,1488
ok,2024-03-14 03:00:00,2.62,2.62,2.57,2.57,527
ok,2024-03-14 07:00:00,2.28,2.32,2.23,2.23,5668
ok,2024-03-14 07:30:00,2.23,2.23,2.22,2.22,753
ok,2024-03-14 08:00:00,2.23,2.24,2.23,2.24,277
ok,2024-03-14 08:30:00,2.31,2.31,2.01,2.04,13362
ok,2024-03-14 09:00:00,2.05,2.09,2.0,2.0,7129
ok,2024-03-14 09:30:00,2.0,2.05,1.71,1.92,15824
ok,2024-03-14 10:00:00,1.92,1.93,1.81,1.88,1285
ok,2024-03-14 10:30:00,1.88,1.88,1.88,1.88,134
ok,2024-03-14 11:00:00,1.91,1.91,1.91,1.91,105
ok,2024-03-14 11:30:00,1.92,1.92,1.77,1.86,2545
ok,2024-03-14 12:00:00,1.86,1.93,1.86,1.93,468
ok,2024-03-14 12:30:00,1.88,1.88,1.88,1.88,100
ok,2024-03-14 13:00:00,1.9,1.9,1.81,1.85,7960
ok,2024-03-14 13:30:00,1.84,1.87,1.8,1.85,5851
ok,2024-03-14 14:00:00,1.87,1.87,1.76,1.76,6657
ok,2024-03-14 14:30:00,1.78,1.82,1.76,1.76,18565
ok,2024-03-14 16:00:00,1.86,1.86,1.84,1.84,1000
ok,2024-03-14 16:30:00,1.84,1.85,1.84,1.85,200
ok,2024-03-15 04:30:00,1.95,2.01,1.95,2.01,400
ok,2024-03-15 05:00:00,2.47,2.97,1.58,1.78,67780
ok,2024-03-15 05:30:00,1.8,1.85,1.62,1.62,10719
ok,2024-03-15 06:00:00,1.76,1.79,1.72,1.72,3193
ok,2024-03-15 06:30:00,1.72,1.81,1.72,1.8,3020
ok,2024-03-15 07:00:00,1.74,1.98,1.74,1.87,9302
ok,2024-03-15 07:30:00,1.86,1.87,1.79,1.8,1250
ok,2024-03-15 08:00:00,1.75,1.75,1.75,1.75,563
ok,2024-03-15 08:30:00,1.81,2.0,1.78,2.0,50323
ok,2024-03-15 09:00:00,1.98,2.28,1.91,2.1,71357
ok,2024-03-15 09:30:00,2.06,2.12,1.88,1.92,25044
ok,2024-03-15 10:00:00,1.99,1.99,1.8,1.83,15512
ok,2024-03-15 10:30:00,1.9,1.91,1.8,1.86,17796
ok,2024-03-15 11:00:00,1.91,1.94,1.82,1.91,21138
ok,2024-03-15 11:30:00,1.94,1.94,1.86,1.86,2497
ok,2024-03-15 12:00:00,1.85,1.92,1.85,1.92,3782
ok,2024-03-15 12:30:00,1.92,1.92,1.92,1.92,1050
ok,2024-03-15 13:00:00,1.9,1.92,1.9,1.92,299
ok,2024-03-15 13:30:00,1.88,1.91,1.85,1.85,4091
ok,2024-03-15 14:00:00,1.83,1.88,1.83,1.83,2135
ok,2024-03-15 14:30:00,1.85,1.87,1.75,1.8,22150
ok,2024-03-15 15:00:00,1.79,1.82,1.76,1.77,2696
ok,2024-03-15 15:30:00,1.83,1.83,1.82,1.83,756
ok,2024-03-15 16:00:00,1.81,1.81,1.81,1.81,241
ok,2024-03-15 17:00:00,1.83,1.89,1.83,1.83,430
ok,2024-03-15 17:30:00,1.89,1.89,1.89,1.89,519
ok,2024-03-15 18:00:00,1.94,1.96,1.87,1.87,1642
ok,2024-03-15 18:30:00,1.87,1.87,1.87,1.87,1400
ok,2024-03-18 06:00:00,1.92,1.92,1.92,1.92,100
ok,2024-03-18 06:30:00,1.95,1.95,1.95,1.95,113
ok,2024-03-18 08:00:00,1.8,1.8,1.75,1.75,247
ok,2024-03-18 08:30:00,1.83,1.83,1.63,1.7,45186
ok,2024-03-18 09:00:00,1.69,1.69,1.5,1.6,11721
ok,2024-03-18 09:30:00,1.59,1.59,1.5,1.54,10384
ok,2024-03-18 10:00:00,1.5,1.5,1.35,1.41,4922
ok,2024-03-18 10:30:00,1.4,1.52,1.2,1.36,11458
ok,2024-03-18 11:00:00,1.42,1.52,1.42,1.5,9334
ok,2024-03-18 11:30:00,1.48,1.48,1.48,1.48,1572
ok,2024-03-18 12:00:00,1.48,1.5,1.48,1.5,940
ok,2024-03-18 12:30:00,1.48,1.5,1.45,1.5,2902
ok,2024-03-18 13:00:00,1.5,1.5,1.45,1.46,3442
ok,2024-03-18 13:30:00,1.43,1.43,1.43,1.43,200
ok,2024-03-18 14:00:00,1.47,1.54,1.46,1.51,4479
ok,2024-03-18 14:30:00,1.52,1.59,1.51,1.59,2156
ok,2024-03-18 15:00:00,1.68,1.68,1.68,1.68,107
ok,2024-03-18 17:30:00,1.63,1.63,1.63,1.63,100
ok,2024-03-19 05:30:00,1.58,1.59,1.58,1.59,243
ok,2024-03-19 07:00:00,1.7,1.7,1.7,1.7,207
ok,2024-03-19 07:30:00,1.58,1.58,1.42,1.55,1184
ok,2024-03-19 08:00:00,1.5,1.5,1.5,1.5,307
ok,2024-03-19 08:30:00,1.55,1.6,1.4,1.47,10874
ok,2024-03-19 09:00:00,1.53,1.53,1.51,1.51,200
ok,2024-03-19 09:30:00,1.46,1.46,1.4,1.4,1134
ok,2024-03-19 10:00:00,1.35,1.46,1.35,1.46,5250
ok,2024-03-19 10:30:00,1.46,1.46,1.46,1.46,1408
ok,2024-03-19 11:00:00,1.47,1.51,1.42,1.44,5428
ok,2024-03-19 12:00:00,1.5,1.5,1.46,1.48,1141
ok,2024-03-19 12:30:00,1.46,1.46,1.44,1.44,9453
ok,2024-03-19 13:00:00,1.45,1.54,1.45,1.52,1768
ok,2024-03-19 13:30:00,1.45,1.48,1.45,1.48,560
ok,2024-03-19 14:00:00,1.44,1.52,1.44,1.49,2148
ok,2024-03-19 14:30:00,1.45,1.5,1.4,1.44,2013
ok,2024-03-19 15:00:00,1.67,1.67,1.45,1.63,6781
ok,2024-03-19 16:00:00,1.44,1.55,1.44,1.55,1173
ok,2024-03-19 17:30:00,1.5,1.5,1.5,1.5,661
ok,2024-03-19 18:30:00,1.62,1.8,1.62,1.79,6133
ok,2024-03-20 03:30:00,1.77,1.77,1.77,1.77,100
ok,2024-03-20 04:00:00,1.75,2.55,1.7,2.1,1053456
ok,2024-03-20 04:30:00,2.1,2.24,2.05,2.15,406342
ok,2024-03-20 05:00:00,2.16,2.16,1.9,1.97,360522
ok,2024-03-20 05:30:00,1.98,2.0,1.82,1.87,260772
ok,2024-03-20 06:00:00,1.87,1.91,1.8,1.8,200305
ok,2024-03-20 06:30:00,1.81,1.81,1.66,1.77,190904
ok,2024-03-20 07:00:00,1.89,1.9,1.51,1.57,401908
ok,2024-03-20 07:30:00,1.56,1.59,1.51,1.55,108964
ok,2024-03-20 08:00:00,1.55,1.6,1.49,1.5,146346
ok,2024-03-20 08:30:00,1.5,1.58,1.18,1.26,404309
ok,2024-03-20 09:00:00,1.27,1.27,1.11,1.21,145009
ok,2024-03-20 09:30:00,1.21,1.28,1.18,1.26,97032
ok,2024-03-20 10:00:00,1.27,1.29,1.22,1.28,62198
ok,2024-03-20 10:30:00,1.24,1.28,1.2,1.25,53491
ok,2024-03-20 11:00:00,1.21,1.26,1.16,1.19,78201
ok,2024-03-20 11:30:00,1.19,1.19,1.08,1.15,149915
ok,2024-03-20 12:00:00,1.11,1.15,1.11,1.14,82118
ok,2024-03-20 12:30:00,1.14,1.15,1.07,1.08,90529
ok,2024-03-20 13:00:00,1.1,1.12,1.05,1.08,142236
ok,2024-03-20 13:30:00,1.09,1.11,0.96,1.0,219837
ok,2024-03-20 14:00:00,1.01,1.01,0.95,0.96,149333
ok,2024-03-20 14:30:00,0.96,1.0,0.9,0.91,290283
ok,2024-03-20 15:00:00,0.92,0.92,0.86,0.91,66484
ok,2024-03-20 15:30:00,0.91,0.92,0.89,0.92,15300
ok,2024-03-20 16:00:00,0.91,0.92,0.91,0.91,2300
ok,2024-03-20 16:30:00,0.91,0.92,0.89,0.92,18613
ok,2024-03-20 17:00:00,0.92,0.92,0.92,0.92,14356
ok,2024-03-20 17:30:00,0.92,0.96,0.92,0.96,8230
ok,2024-03-20 18:00:00,0.94,0.94,0.92,0.94,1188
ok,2024-03-20 18:30:00,0.92,0.96,0.92,0.95,2551
ok,2024-03-21 03:00:00,0.96,0.96,0.82,0.84,8486
ok,2024-03-21 03:30:00,0.9,0.9,0.84,0.85,4330
ok,2024-03-21 04:00:00,0.89,0.89,0.85,0.85,3764
ok,2024-03-21 04:30:00,0.85,0.88,0.85,0.85,3152
ok,2024-03-21 05:00:00,0.86,0.88,0.85,0.85,12675
ok,2024-03-21 05:30:00,0.85,0.88,0.84,0.85,8871
ok,2024-03-21 06:00:00,0.85,0.87,0.84,0.87,8584
ok,2024-03-21 06:30:00,0.86,0.9,0.84,0.89,17347
ok,2024-03-21 07:00:00,0.83,0.94,0.83,0.92,21414
ok,2024-03-21 07:30:00,0.93,0.93,0.91,0.91,7441
ok,2024-03-21 08:00:00,0.9,0.92,0.86,0.86,19819
ok,2024-03-21 08:30:00,0.9,0.93,0.86,0.88,65729
ok,2024-03-21 09:00:00,0.89,0.91,0.87,0.88,16445
ok,2024-03-21 09:30:00,0.88,0.9,0.88,0.9,6735
ok,2024-03-21 10:00:00,0.9,0.95,0.9,0.93,22077
ok,2024-03-21 10:30:00,0.91,0.95,0.91,0.94,22170
ok,2024-03-21 11:00:00,0.91,0.94,0.88,0.92,17649
ok,2024-03-21 11:30:00,0.92,0.93,0.88,0.92,19044
ok,2024-03-21 12:00:00,0.92,0.92,0.9,0.91,7558
ok,2024-03-21 12:30:00,0.92,0.93,0.9,0.93,12500
ok,2024-03-21 13:00:00,0.93,0.94,0.9,0.93,11694
ok,2024-03-21 13:30:00,0.93,0.93,0.9,0.93,1898
ok,2024-03-21 14:00:00,0.93,0.93,0.9,0.92,3082
ok,2024-03-21 14:30:00,0.9,0.93,0.9,0.9,15406
ok,2024-03-21 15:00:00,0.89,0.89,0.85,0.85,3648
ok,2024-03-21 16:00:00,0.86,0.86,0.86,0.86,850
ok,2024-03-21 16:30:00,0.86,0.93,0.86,0.87,895
ok,2024-03-21 18:30:00,0.92,0.92,0.92,0.92,800
ok,2024-03-22 03:00:00,0.87,0.9,0.87,0.9,661
ok,2024-03-22 04:00:00,0.86,0.86,0.86,0.86,515
ok,2024-03-22 04:30:00,0.9,0.9,0.9,0.9,100
ok,2024-03-22 05:00:00,0.9,0.9,0.9,0.9,239
ok,2024-03-22 05:30:00,0.87,0.87,0.87,0.87,1050
ok,2024-03-22 06:00:00,0.89,0.89,0.88,0.88,320
ok,2024-03-22 07:00:00,0.89,0.89,0.88,0.88,345
ok,2024-03-22 07:30:00,0.88,0.91,0.87,0.91,2380
ok,2024-03-22 08:00:00,0.9,0.9,0.87,0.87,2134
ok,2024-03-22 08:30:00,0.9,0.9,0.85,0.86,21005
ok,2024-03-22 09:00:00,0.86,0.9,0.86,0.9,375
ok,2024-03-22 09:30:00,0.87,0.87,0.84,0.85,29771
ok,2024-03-22 10:00:00,0.87,0.87,0.85,0.86,2565
ok,2024-03-22 10:30:00,0.86,0.86,0.86,0.86,3320
ok,2024-03-22 11:00:00,0.86,0.88,0.86,0.87,2020
ok,2024-03-22 11:30:00,0.86,0.86,0.86,0.86,671
ok,2024-03-22 12:00:00,0.86,0.89,0.86,0.89,5269
ok,2024-03-22 12:30:00,0.86,0.87,0.86,0.86,58481
ok,2024-03-22 13:00:00,0.88,0.9,0.86,0.87,10853
ok,2024-03-22 13:30:00,0.9,0.94,0.87,0.92,11736
ok,2024-03-22 14:00:00,0.89,0.89,0.87,0.87,5520
ok,2024-03-22 14:30:00,0.89,0.91,0.87,0.88,4968
ok,2024-03-22 15:30:00,0.86,0.86,0.86,0.86,115
ok,2024-03-22 18:30:00,0.91,0.91,0.91,0.91,254
ok,2024-03-25 03:30:00,0.81,0.81,0.8,0.8,567
ok,2024-03-25 04:00:00,0.87,0.87,0.87,0.87,120
ok,2024-03-25 05:00:00,0.87,0.87,0.87,0.87,265
ok,2024-03-25 05:30:00,0.9,0.91,0.9,0.91,438
ok,2024-03-25 06:00:00,0.91,0.91,0.87,0.87,5587
ok,2024-03-25 07:30:00,0.89,0.89,0.89,0.89,200
ok,2024-03-25 08:00:00,0.87,0.87,0.87,0.87,5692
ok,2024-03-25 08:30:00,0.9,0.9,0.86,0.86,9794
ok,2024-03-25 09:00:00,0.86,0.89,0.82,0.84,29110
ok,2024-03-25 09:30:00,0.84,0.86,0.82,0.83,15836
ok,2024-03-25 10:00:00,0.83,0.83,0.82,0.82,25198
ok,2024-03-25 10:30:00,0.83,0.85,0.82,0.84,4810
ok,2024-03-25 11:00:00,0.82,0.84,0.82,0.82,2222
ok,2024-03-25 11:30:00,0.85,0.85,0.82,0.82,7702
ok,2024-03-25 12:00:00,0.82,0.85,0.82,0.84,8250
ok,2024-03-25 12:30:00,0.83,0.84,0.82,0.82,4269
ok,2024-03-25 13:00:00,0.84,0.84,0.82,0.82,4959
ok,2024-03-25 13:30:00,0.82,0.84,0.82,0.82,5893
ok,2024-03-25 14:00:00,0.84,0.84,0.82,0.82,605
ok,2024-03-25 14:30:00,0.82,0.85,0.82,0.84,5509
ok,2024-03-25 16:00:00,0.82,0.82,0.82,0.82,100
ok,2024-03-25 16:30:00,0.86,0.86,0.86,0.86,1159
ok,2024-03-25 17:00:00,0.82,0.82,0.82,0.82,150
ok,2024-03-26 03:00:00,0.8,0.87,0.76,0.76,1898
ok,2024-03-26 03:30:00,0.85,0.85,0.85,0.85,150
ok,2024-03-26 04:00:00,0.86,0.86,0.84,0.84,500
ok,2024-03-26 06:00:00,0.83,0.84,0.83,0.84,300
ok,2024-03-26 06:30:00,0.8,0.8,0.8,0.8,340
ok,2024-03-26 07:00:00,0.82,0.89,0.82,0.89,784
ok,2024-03-26 07:30:00,0.82,0.82,0.82,0.82,915
ok,2024-03-26 08:00:00,0.82,0.82,0.82,0.82,471
ok,2024-03-26 08:30:00,0.87,0.88,0.82,0.84,7892
ok,2024-03-26 09:00:00,0.82,0.89,0.82,0.88,9033
ok,2024-03-26 09:30:00,0.83,0.87,0.83,0.83,4140
ok,2024-03-26 10:00:00,0.85,0.85,0.85,0.85,100
ok,2024-03-26 10:30:00,0.83,0.83,0.82,0.83,4450
ok,2024-03-26 11:00:00,0.86,0.86,0.8,0.82,2004
ok,2024-03-26 11:30:00,0.83,0.86,0.83,0.86,1316
ok,2024-03-26 12:00:00,0.83,0.84,0.83,0.84,2216
ok,2024-03-26 12:30:00,0.86,0.86,0.86,0.86,2080
ok,2024-03-26 13:00:00,0.83,0.86,0.83,0.86,6224
ok,2024-03-26 13:30:00,0.86,0.88,0.85,0.88,92046
ok,2024-03-26 14:00:00,0.88,0.88,0.85,0.87,15109
ok,2024-03-26 14:30:00,0.88,0.88,0.86,0.88,15966
ok,2024-03-26 15:30:00,0.86,0.87,0.85,0.87,3401
ok,2024-03-26 16:00:00,0.87,0.87,0.86,0.86,3345
ok,2024-03-26 16:30:00,0.87,0.87,0.87,0.87,1100
ok,2024-03-26 17:00:00,0.87,0.87,0.87,0.87,100
ok,2024-03-26 17:30:00,0.87,0.87,0.87,0.87,1100
ok,2024-03-26 18:00:00,0.86,0.86,0.86,0.86,2562
ok,2024-03-27 03:00:00,0.86,0.87,0.86,0.87,1000
ok,2024-03-27 05:30:00,0.87,0.87,0.87,0.87,108
ok,2024-03-27 06:00:00,0.87,0.87,0.87,0.87,100
ok,2024-03-27 07:00:00,0.88,0.88,0.84,0.84,200
ok,2024-03-27 07:30:00,0.87,0.87,0.84,0.84,643
ok,2024-03-27 08:30:00,0.84,0.88,0.8,0.81,81663
ok,2024-03-27 09:00:00,0.81,0.85,0.81,0.85,2399
ok,2024-03-27 09:30:00,0.84,0.84,0.84,0.84,500
ok,2024-03-27 10:00:00,0.84,0.85,0.83,0.85,9517
ok,2024-03-27 10:30:00,0.85,0.86,0.85,0.86,1580
ok,2024-03-27 11:00:00,0.86,0.88,0.84,0.84,14467
ok,2024-03-27 11:30:00,0.87,0.87,0.84,0.84,316
ok,2024-03-27 12:00:00,0.87,0.87,0.87,0.87,436
ok,2024-03-27 12:30:00,0.86,0.86,0.86,0.86,500
ok,2024-03-27 13:00:00,0.87,0.9,0.85,0.9,115150
ok,2024-03-27 13:30:00,0.9,0.9,0.86,0.88,11808
ok,2024-03-27 14:00:00,0.89,0.9,0.87,0.9,11185
ok,2024-03-27 14:30:00,0.88,0.91,0.86,0.91,36182
ok,2024-03-27 15:00:00,0.91,0.93,0.9,0.92,8346
ok,2024-03-27 15:30:00,0.9,0.93,0.9,0.91,6074
ok,2024-03-27 16:00:00,0.91,0.92,0.91,0.92,3898
ok,2024-03-27 16:30:00,0.92,0.92,0.91,0.91,2184
ok,2024-03-27 17:30:00,0.92,0.92,0.92,0.92,927
ok,2024-03-28 03:30:00,0.89,0.89,0.89,0.89,100
ok,2024-03-28 07:00:00,0.93,0.96,0.92,0.92,2201
ok,2024-03-28 07:30:00,0.92,0.92,0.86,0.9,3425
ok,2024-03-28 08:00:00,0.92,0.92,0.92,0.92,1279
ok,2024-03-28 08:30:00,0.92,0.94,0.86,0.91,15850
ok,2024-03-28 09:00:00,0.88,0.92,0.88,0.92,3083
ok,2024-03-28 09:30:00,0.93,0.93,0.91,0.91,2111
ok,2024-03-28 10:00:00,0.89,0.94,0.88,0.94,22900
ok,2024-03-28 10:30:00,0.94,0.95,0.93,0.95,14460
ok,2024-03-28 11:00:00,0.94,0.94,0.93,0.93,11300
ok,2024-03-28 11:30:00,0.93,0.95,0.93,0.93,1773
ok,2024-03-28 12:00:00,0.95,0.95,0.95,0.95,3869
ok,2024-03-28 12:30:00,0.95,0.95,0.93,0.93,4167
ok,2024-03-28 13:00:00,0.94,0.94,0.94,0.94,621
ok,2024-03-28 13:30:00,0.95,0.95,0.94,0.95,4693
ok,2024-03-28 14:00:00,0.96,1.06,0.93,1.04,63424
ok,2024-03-28 14:30:00,1.02,1.02,0.93,0.94,60235
ok,2024-03-28 15:00:00,0.97,1.0,0.95,0.95,1435
ok,2024-03-28 15:30:00,0.97,0.97,0.97,0.97,100
ok,2024-03-28 16:00:00,0.97,0.97,0.97,0.97,200
ok,2024-03-28 17:00:00,0.94,0.97,0.94,0.97,439
ok,2024-03-28 18:30:00,0.95,0.95,0.95,0.95,1900
ok,2024-04-01 03:30:00,0.97,0.97,0.97,0.97,100
ok,2024-04-01 04:00:00,0.94,0.94,0.91,0.91,592
ok,2024-04-01 04:30:00,0.92,0.92,0.92,0.92,700
ok,2024-04-01 06:00:00,0.94,0.94,0.94,0.94,197
ok,2024-04-01 07:00:00,0.93,0.93,0.92,0.92,753
ok,2024-04-01 08:00:00,0.94,0.94,0.92,0.92,871
ok,2024-04-01 08:30:00,0.97,0.97,0.9,0.9,13684
ok,2024-04-01 09:00:00,0.91,0.91,0.88,0.88,8275
ok,2024-04-01 09:30:00,0.93,0.96,0.93,0.96,19948
ok,2024-04-01 10:00:00,0.97,0.98,0.91,0.91,13140
ok,2024-04-01 10:30:00,0.94,0.94,0.91,0.91,760
ok,2024-04-01 11:00:00,0.97,0.97,0.93,0.93,6935
ok,2024-04-01 11:30:00,0.94,0.97,0.94,0.95,2408
ok,2024-04-01 12:00:00,0.94,0.95,0.93,0.93,3198
ok,2024-04-01 12:30:00,0.93,0.97,0.93,0.97,5087
ok,2024-04-01 13:00:00,0.93,0.97,0.93,0.97,352
ok,2024-04-01 13:30:00,0.97,0.97,0.97,0.97,300
ok,2024-04-01 14:00:00,0.97,0.97,0.97,0.97,300
ok,2024-04-01 14:30:00,0.97,0.97,0.93,0.95,7690
ok,2024-04-01 15:30:00,0.93,0.93,0.93,0.93,748
ok,2024-04-01 16:30:00,0.98,0.98,0.98,0.98,100
ok,2024-04-01 18:00:00,0.96,0.96,0.96,0.96,100
ok,2024-04-02 07:00:00,0.92,0.92,0.91,0.92,6575
ok,2024-04-02 07:30:00,0.92,0.92,0.92,0.92,465
ok,2024-04-02 08:00:00,0.92,0.95,0.92,0.95,1152
ok,2024-04-02 08:30:00,0.95,0.98,0.92,0.92,13199
ok,2024-04-02 09:00:00,0.93,0.95,0.92,0.95,3386
ok,2024-04-02 09:30:00,0.95,0.95,0.95,0.95,121
ok,2024-04-02 10:00:00,0.94,0.94,0.94,0.94,2498
ok,2024-04-02 10:30:00,0.94,0.94,0.93,0.94,801
ok,2024-04-02 11:00:00,0.93,0.94,0.93,0.94,421
ok,2024-04-02 11:30:00,0.94,0.94,0.91,0.92,7485
ok,2024-04-02 12:00:00,0.93,0.93,0.93,0.93,306
ok,2024-04-02 12:30:00,0.95,0.95,0.95,0.95,1000
ok,2024-04-02 13:00:00,0.95,0.95,0.93,0.94,515
ok,2024-04-02 13:30:00,0.94,0.94,0.92,0.92,1173
ok,2024-04-02 14:00:00,0.95,0.95,0.95,0.95,1300
ok,2024-04-02 14:30:00,0.92,0.95,0.92,0.95,3282
ok,2024-04-02 15:00:00,0.95,0.95,0.95,0.95,100
ok,2024-04-02 16:30:00,0.95,0.95,0.95,0.95,100
ok,2024-04-02 17:00:00,0.93,0.93,0.93,0.93,106
ok,2024-04-02 18:30:00,0.95,0.95,0.95,0.95,1700
ok,2024-04-03 05:30:00,0.9,0.9,0.9,0.9,236
ok,2024-04-03 06:00:00,0.92,0.92,0.92,0.92,566
ok,2024-04-03 06:30:00,0.92,0.92,0.92,0.92,1000
ok,2024-04-03 07:30:00,0.96,0.96,0.96,0.96,1000
ok,2024-04-03 08:00:00,0.92,0.92,0.92,0.92,1200
ok,2024-04-03 08:30:00,0.92,0.94,0.91,0.94,7268
ok,2024-04-03 09:00:00,0.92,0.94,0.91,0.91,10244
ok,2024-04-03 09:30:00,0.91,0.92,0.9,0.9,20239
ok,2024-04-03 10:00:00,0.91,0.91,0.9,0.9,7412
ok,2024-04-03 10:30:00,0.9,0.91,0.85,0.9,7806
ok,2024-04-03 11:00:00,0.9,0.91,0.88,0.88,4120
ok,2024-04-03 11:30:00,0.88,0.91,0.88,0.91,415
ok,2024-04-03 12:00:00,0.91,0.91,0.91,0.91,461
ok,2024-04-03 12:30:00,0.91,0.91,0.9,0.9,14754
ok,2024-04-03 13:30:00,0.93,0.93,0.93,0.93,108
ok,2024-04-03 14:30:00,0.93,0.95,0.93,0.95,17496
ok,2024-04-03 15:00:00,0.9,0.9,0.88,0.88,7522
ok,2024-04-03 15:30:00,0.91,0.91,0.91,0.91,444
ok,2024-04-03 16:00:00,0.91,0.91,0.91,0.91,1100
ok,2024-04-03 18:30:00,0.92,0.92,0.92,0.92,602
ok,2024-04-04 03:30:00,0.91,0.91,0.91,0.91,113
ok,2024-04-04 07:00:00,0.9,0.92,0.9,0.92,2922
ok,2024-04-04 08:30:00,0.93,0.95,0.9,0.9,11233
ok,2024-04-04 09:00:00,0.94,0.95,0.91,0.93,3081
ok,2024-04-04 10:00:00,0.97,0.97,0.93,0.93,2596
ok,2024-04-04 10:30:00,0.93,0.95,0.93,0.95,2037
ok,2024-04-04 11:00:00,0.95,0.95,0.93,0.95,1156
ok,2024-04-04 11:30:00,0.95,0.98,0.95,0.96,3619
ok,2024-04-04 12:00:00,0.97,0.98,0.96,0.97,8201
ok,2024-04-04 12:30:00,0.97,1.02,0.94,0.94,14782
ok,2024-04-04 13:00:00,0.96,0.99,0.94,0.94,6774
ok,2024-04-04 13:30:00,0.95,0.95,0.94,0.95,3805
ok,2024-04-04 14:00:00,0.97,0.97,0.93,0.95,18450
ok,2024-04-04 14:30:00,0.95,0.99,0.93,0.99,4828
ok,2024-04-04 15:00:00,0.99,0.99,0.94,0.94,6400
ok,2024-04-05 04:00:00,0.98,1.03,0.98,1.03,2039
ok,2024-04-05 07:00:00,0.94,1.02,0.94,1.02,1051
ok,2024-04-05 08:00:00,0.96,0.96,0.96,0.96,390
ok,2024-04-05 08:30:00,0.97,1.0,0.95,1.0,3595
